序号,UT,题名,判定,理由/标签,判定阶段
241,WOS:001295996500001,Reliability and resilience of environmental flows under uncertainty: reconsidering water year types and inconsistent flow requirements in California,X,生态流量可靠性(水文),题目+关键词
242,WOS:000262707700192,ADVANCED INDUSTRIAL PROCESS ENERGY EFFICIENCY,X,工业过程能效,题目+关键词
243,WOS:000333790600011,Assessing nuclear power plant safety and recovery from earthquakes using a system-of-systems approach,X,核电站地震安全SoS,题目+关键词
244,WOS:000878732000006,Evaluation of low-carbon multi-energy options for the future UAE energy system,X,阿联酋能源系统低碳建模,题目+关键词
245,WOS:000428483300037,A CASE STUDY OF DECENTRALIZED OFF-GRID WATER TREATMENT USING REVERSE OSMOSIS,X,离网RO水处理案例,题目+关键词
246,WOS:000896689600003,Novel recursive inclusion-exclusion technology based on BAT and MPs for heterogeneous-arc binary-state network reliability problems,X,网络可靠性算法,题目+关键词
247,WOS:000701920100009,Critical flow centrality measures on interdependent networks with time demands,A,互依网络临界流中心度(水-电城市模型),摘要
248,WOS:000638255100003,Changes of soil quality induced by different vegetation restoration in the collapsing gully erosion areas of southern China,X,土壤质量植被恢复,题目+关键词
249,WOS:000083740700023,Means and merits of higher temperature operation in dual-purpose plants,X,过程级(双用途淡化厂运行温度),题目+关键词
250,WOS:000505271100060,Robustness of energy consumption and comfort in high-performance residential building with respect to occupant behavior,X,住宅建筑能耗行为,题目+关键词
251,WOS:000527567200071,Reliability evaluation of multi-carrier energy system with different level of demands under various weather situation,X,多载体能源系统可靠性(无供水),题目+关键词
252,WOS:000958339100001,A Digital Twin-Based System to Manage the Energy Hub and Enhance the Electrical Grid Resiliency,X,数字孪生能源枢纽+电网韧性,题目+关键词
253,WOS:001825111200001,Aluminum-based interfacial evaporator fabricated by picosecond laser synergistic high-temperature carbonization for multistage water-electricity cogeneration,X,材料级(激光铝蒸发器水电联产),题目+关键词
254,WOS:000461196000003,"Sustainable land management practices, off-farm work participation and vulnerability among farmers in Ghana: Is there a nexus?",X,农业土地管理(加纳),题目+关键词
255,WOS:000612890500002,A coordinated repair routing problem for post-disaster recovery of interdependent infrastructure networks,A,互依生命线协同修复路径(水-电-气),摘要
256,WOS:000345500500079,Operating cost for CO2 capture process using aqueous ammonia,X,CO2捕集成本,题目+关键词
257,WOS:000243695300007,Optimizing scheduling of post-earthquake electric power restoration tasks,X,纯电力(震后恢复任务调度),题目+关键词
258,WOS:000888555200001,Rangeland restoration in Jordan: Restoring vegetation cover by water harvesting measures,X,牧场恢复(约旦),题目+关键词
259,WOS:000385598300009,Economic analysis and assessment of a standalone solar-hydrogen combined heat and power system integrated with solar-thermal collectors,X,太阳能-氢CHP经济分析,题目+关键词
260,WOS:001205704600001,Systemic seismic risk assessment of urban healthcare system considering interdependencies to critical infrastructures,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
261,WOS:000822361900001,Failure consequence evaluation of uncontrollable district heating network,X,区域供热网失效后果,题目+关键词
262,WOS:000365323100005,Disaster Vulnerability of Hospitals: A Nationwide Surveillance in Japan,X,医院灾害脆弱性,题目+关键词
263,WOS:000526747900054,"Parameter analysis of an ammonia-water power cycle with a gravity assisted thermal driven ""pump"" for low-grade heat recovery",X,氨-水循环低品位热回收,题目+关键词
264,WOS:000329604900097,Drought and the water-energy nexus in Texas,X,nexus资源侧(德州干旱-火电),题目+关键词
265,WOS:000432426900021,Robustness Enhancement of Healthcare Infrastructure through Intelligent Planning Units (IPUs),X,医疗基础设施规划,题目+关键词
266,WOS:A1993LV47600009,FEASIBILITY OF INSTALLING BACK PRESSURE TURBINE AT UMM-AL-NAR-EAST STATION,X,电厂背压轮机改造,题目+关键词
267,WOS:001513217200004,A novel electrochemical and salt-field evaporation combined strategy for sustainable lithium extraction from raw brine with reduced resource consumption,X,盐湖提锂,题目+关键词
268,WOS:000348561500108,The Design of Solar Water Heating Remote Monitoring System Based on GSM Technology,X,太阳能热水监控,题目+关键词
269,WOS:001600777600047,Energy Management for Rural Microgrid With Inaccurate Equipment Parameters: A KAN-Based Deep Reinforcement Learning Method,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
270,WOS:000657397100088,Spatial modeling of environmental vulnerability in the biggest river in Iran using geographical information systems,X,河流环境脆弱性GIS,题目+关键词
271,WOS:001785423800001,A Water-Electricity Co-Generator for Solar-Driven Steam Production and Full-Day Electricity Output via Harvesting Autogenous Salinity Power,X,器件级(太阳能蒸汽+盐差发电),题目+关键词
272,WOS:001799473100068,Integrated Planning of Data Centers and Coupled Electricity-water Systems with Renewable Energy for Low-carbon Goals,A,数据中心+耦合电-水系统低碳规划,题目+关键词
273,WOS:000833517600002,A systematic construction of water-electricity cogeneration and thermal membrane coupling desalination technology using the waste heat in steel industry,X,过程级(钢铁余热水电联产+淡化),题目+关键词
274,WOS:000833541600015,An Approach for Resilience Assessment of SIRES,X,乡村可再生能源系统韧性,题目+关键词
275,WOS:001649014100001,Human-Centered Infrastructure Restoration: An Integrated Framework for Demand Estimation and Resource Allocation,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
276,WOS:000776637300036,Incorporating the Human Factor in Modeling Interdependent Infrastructure Systems,A,人因互依CIS建模(电力-水系统案例),摘要
277,WOS:001639445400001,Boundaries for a global resilient energy transition,X,全球能源转型边界,题目+关键词
278,WOS:000800221500001,Mixing waters: stakeholder influence in transboundary water conflict and cooperation,X,跨境水冲突治理,题目+关键词
279,WOS:000621598900014,4E dynamic analysis of a water-power cogeneration plant integrated with solar parabolic trough collector and absorption chiller,X,过程级(水-电联产厂4E动态分析),题目+关键词
280,WOS:000465417100084,Planning Criteria Benchmarking and Voltage Stability Study for Marafiq's Yanbu Network,X,纯电力(Yanbu电网电压稳定),题目+关键词
281,WOS:001268706200001,Ecotourism and mangrove conservation in Southeast Asia: Current trends and perspectives,X,红树林生态旅游,题目+关键词
282,WOS:001842255300031,Futurism Trends in IoT Towards Sensible Smart Cities,X,IoT智慧城市传感,题目+关键词
283,WOS:000451380200024,Aggregation Architecture for Data Reduction and Privacy in Advanced Metering Infrastructure,X,高级量测隐私,题目+关键词
284,WOS:001838729700001,Rheological evaluation of soil microstructure stability during vegetation restoration on the Loess Plateau of China,X,黄土土壤流变,题目+关键词
285,WOS:001708847900097,Lean Transformation in Power Transmission Maintenance,X,输电精益维护,题目+关键词
286,WOS:000548584900072,"Electrochemical-Osmotic Process for Simultaneous Recovery of Electric Energy, Water, and Metals from Wastewater",X,废水资源回收电化学,题目+关键词
287,WOS:000298863700025,Earthquake Performance of Telecommunications Infrastructure in Christchurch 2010/2011,X,通信基础设施震害,题目+关键词
288,WOS:000223577100008,High power water switches: Postbreakdown phenomena and dielectric recovery,X,脉冲功率水开关,题目+关键词
289,WOS:000714944700013,Change Point Detection in Periodic Panel Data Using a Mixture-Model-Based Approach,X,面板数据变点检测,题目+关键词
290,WOS:000392426501050,Functional and economic obsolescence of assets in network utilities according to different environmental factors,X,网络公用事业资产折旧,题目+关键词
291,WOS:001634343500001,"Reliability, Maintenance, and Safety of Power-to-Hydrogen: Lessons Learned from an Industrial Demonstrator",X,电氢系统可靠性维护,题目+关键词
292,WOS:000876455100003,Analysis of the influencing factors on industrial resilience to flood disasters using a semi-markov recovery model: A case study of the Heavy Rain Event of July 2018 in Japan,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
293,WOS:000226218800190,Emirate of Abu Dhabi power transmission system evaluation & expansion,X,纯电力(阿布扎比输电扩展),题目+关键词
294,WOS:000909015500001,Optimal Design and Comparative Analysis of a PV/Mini-Hydropower and a PV/Battery Used for Electricity and Water Supply,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
295,WOS:000380939200027,Survivability as a Generalization of Recovery,X,生存性理论,题目+关键词
296,WOS:000830892300007,Quantifying the trade-off between water and electricity for tomato production in arid environments,X,温室番茄水-电权衡(农业),题目+关键词
297,WOS:000655062500025,"Energy and exergy analyses of a combined cooling, heating and power system with prime mover of phosphoric acid fuel cell with organic Rankine cycle",X,燃料电池CCHP㶲分析,题目+关键词
298,WOS:000445267100045,Climate Change Risk Assessment Method for Electrical Facility,X,纯电力(电气设施气候风险),题目+关键词
299,WOS:000918448700001,Assessing Shock Propagation and Cascading Uncertainties Using the Input-Output Framework: Analysis of an Oil Refinery Accident in Singapore,X,投入产出法事故经济冲击,题目+关键词
300,WOS:000313566100013,Minimal intervention dentistry: part 5. Atraumatic restorative treatment (ART) - a minimum intervention and minimally invasive approach for the management of dental caries,X,牙科治疗,题目+关键词
301,WOS:000316432700052,Thermodynamic analysis and optimization of an ammonia-water power system with LNG (liquefied natural gas) as its heat sink,X,氨-水+LNG循环,题目+关键词
302,WOS:000300478100016,"Cost optimization of a combined power and water desalination plant with exergetic, environment and reliability consideration",X,过程级(电力+MSF淡化成本优化),题目+关键词
303,WOS:001721555700003,Investigating the Consequences of Heat Waves on Social Groups and Coping Strategy in Dhaka City,X,热浪社会影响(达卡),题目+关键词
304,WOS:000979268900001,GIS-Based Identification of Locations in Water Distribution Networks Vulnerable to Leakage,X,纯供水(管网漏损GIS),题目+关键词
305,WOS:000467093500043,"Mapping and Modeling Interdependent Power, Water, and Gas Infrastructures",A,电-水-气互依基础设施建模(级联失效),题目+关键词
306,WOS:000931670800001,A two-stage stochastic multi-objective resilience optimization model for network expansion of interdependent power-water networks under disruption,A,互依电力-水网络扩展韧性优化,题目+关键词
307,WOS:000406137700004,SCADA-SST: A SCADA Security Testbed,X,SCADA安全测试床,题目+关键词
308,WOS:001349541100019,OPTIMAL SENSOR PLACEMENT IN NUCLEAR POWER STEAM WATER SYSTEM BASED ON SIGNED DIRECTED GRAPH,X,核电汽水系统传感器布置,题目+关键词
309,WOS:001544045100002,Extreme weather events and critical infrastructure resilience: Lessons from Hurricane Irma in Florida,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
310,WOS:001242479500001,Desalination and wave power for freshwater supply on Gotland,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
311,WOS:000392605000019,DIAGNOSIS OF THE OPEN-GAIN REVERSE OSMOSIS DESALINATION UNIT,X,RO淡化装置诊断,题目+关键词
312,WOS:001172557800001,Simultaneous Wastewater Treatment and Resources Recovery by Forward Osmosis Coupled with Microbial Fuel Cell: A Review,X,废水FO+MFC综述,题目+关键词
313,WOS:001022073500002,Seismic risk and resilience analysis of networked industrial facilities,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
314,WOS:001696045900001,Hierarchical LDH@Ti3C2-based bifunctional evaporator for solar-driven water-electricity cogeneration,X,材料级(蒸发器水电联产),题目+关键词
315,WOS:000317996700001,"Combined Hydrogen, Heat and Power (CHHP) pilot plant design",X,氢热电联供中试,题目+关键词
316,WOS:001755767900001,Grassland restoration measures influence soil water-holding capacity by altering soil and vegetation properties composition,X,草地恢复土壤水文,题目+关键词
317,WOS:000346767400061,A Data-Driven Process Controller for Energy-Efficient Variable-Speed Pump Operation in the Central Cooling Water System of Marine Vessels,X,船舶冷却水泵控制,题目+关键词
318,WOS:001756235300001,Wildfire risk to critical infrastructure: A systematic review highlighting the need for cross-sector collaboration,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
319,WOS:001593393100001,"Estimating Household Water Demand and Affordability Under Intermittent Supply: An Econometric Analysis with a Water-Energy Nexus Perspective for Pimpri-Chinchwad, India",X,家庭水需求计量经济(间歇供水),题目+关键词
320,WOS:001259728700001,A review of pinch analysis techniques and extended application in power systems,X,夹点分析综述(过程集成),题目+关键词
321,WOS:000517833900003,The challenge of soil loss control and vegetation restoration in the karst area of southwestern China,X,喀斯特土壤侵蚀,题目+关键词
322,WOS:000901789800003,Electrification and decarbonization of spent Li-ion batteries purification by using an electrochemical membrane reactor,X,电池回收电渗析,题目+关键词
323,WOS:A1992KA59200008,DESALINATION PLANT INTEGRATION WITH COGENERATION SYSTEMS FOR EOR COMMERCIAL INDUSTRIAL APPLICATIONS,X,过程级(淡化+热电联产EOR),题目+关键词
324,WOS:001867126300001,Enhancing disaster management and emergency response in the utility sector through Information Systems: A case study of the Maldives,X,公用事业灾害管理信息系统,题目+关键词
325,WOS:001115087700001,sCO2 power cycle/reverse osmosis distillation system for water-electricity cogeneration in nuclear powered ships and submarines,X,过程级(舰船核动力sCO2+RO),题目+关键词
326,WOS:001084633400174,MIMO Model Predictive Control for Demand Management in Islanded Water-Energy Microgrids,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
327,WOS:000405294000012,Water-Energy Nexus Perspectives in the Context of Photovoltaic-Powered Decentralized Water Treatment Systems: A Tanzanian Case Study,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
328,WOS:000330646900023,Optimal Network Flow for the Supply Side of the Energy-Water Nexus,A,能源-水nexus供应侧网络流优化,题目+关键词
329,WOS:001191555800001,Study on Multivariable Dynamic Matrix Control for a Novel Solar Hybrid STIGT System,X,太阳能混合燃机控制,题目+关键词
330,WOS:000594966900001,Conflict Resilience of Water and Energy Supply Infrastructure: Insights from Yemen,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
331,WOS:000450401200005,Framework for Probabilistic Vulnerability Analysis of Interdependent Infrastructure Systems,A,概率脆弱性贝叶斯框架(亚特兰大配水网-电力系统),摘要
332,WOS:000328521200013,Realization for New Type System of Energy Recovery,X,柴油机能量回收,题目+关键词
333,WOS:000579365600047,Co-current analysis among electricity-water-carbon for the power sector in China,X,电力部门电-水-碳协同(nexus资源侧),题目+关键词
334,WOS:001533467300001,Many hands: Sharing the work and benefits of stream restoration in the Fishers and Farmers Partnership,X,河流修复社区合作,题目+关键词
335,WOS:000677532900005,"A two-stage IGDT/TPEM model for optimal operation of a smart building: A case study of Gheshm Island, Iran",X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
336,WOS:001482694802080,Distributed Secondary Control with Economic Dispatch of Energy-Water Microgrids,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
337,WOS:000484881400079,Off-design performance analysis and optimization of the power production by an organic Rankine cycle coupled with a gas turbine in an offshore oil platform,X,海上平台ORC余热发电,题目+关键词
338,WOS:001694400100001,Modeling and analysis of urban critical infrastructure dynamic cascading failures in urban floods based on Simulink,A,城市洪灾下电/水/通信级联失效(广州),摘要
339,WOS:000489275900068,"Demand side management opportunities, framework, and implications for sustainable development in resource-rich countries: Case study Qatar",X,需求侧管理框架(卡塔尔),题目+关键词
340,WOS:000382678400003,A resource allocation approach for managing critical network-based infrastructure systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
341,WOS:000384837100001,Effects of natural disasters on social and economic well being: A study in Nigeria,X,灾害社会经济影响(尼日利亚),题目+关键词
342,WOS:000720050300003,Mitigating global warming in smart energy grids via energy supply security for critical energy infrastructures,X,智能电网能源供应安全,题目+关键词
343,WOS:000432475300070,Simulating stream response to floodplain connectivity and revegetation from reach to watershed scales: Implications for stream management,X,河流洪泛区恢复模拟,题目+关键词
344,WOS:000295061100057,Thermoeconomic analysis with reliability consideration of a combined power and multi stage flash desalination plant,X,过程级(电力+MSF热经济可靠性),题目+关键词
345,WOS:A1991FN51600005,A UNIFIED METHODOLOGY FOR RELIABILITY ASSESSMENT OF SYSTEMS WITH ACTIVE REDUNDANCY,X,冗余系统可靠性方法,题目+关键词
346,WOS:000234294200018,Transient stability study of interconnected power system of North Oman,X,纯电力(阿曼互联系统暂态稳定),题目+关键词
347,WOS:000543741200001,"Modular Deformable Steam Electricity Cogeneration System with Photothermal, Water, and Electrochemical Tunable Multilayers",X,器件级(蒸汽-电联产材料),题目+关键词
348,WOS:001853203700001,Life-line assurance in the urbanization process: revealing the coupled safety resilience of municipal underground pipelines and its influential characteristics,A,[B终筛升A]昆明市市政地下管线(燃气/电力/供水/排水)耦合安全韧性评估,摘要复核(B类终筛)
349,WOS:001243340500001,An efficient hydrogen-based water-power strategy to alleviate the number of transmission switching within smart grid,A,水-电系统下输电切换优化(SCUC),题目+关键词
350,WOS:000331684100007,A rapid reliability estimation method for directed acyclic lifeline networks with statistically dependent components,A,"生命线网络快速可靠性(互依电-水网络,Memphis)",摘要
351,WOS:000871058100003,Utilization of low-grade heat for desalination and electricity generation through thermal osmosis energy conversion process,X,器件级(热渗透淡化发电),题目+关键词
352,WOS:000636156600004,Susceptibility curves for humans: Empirical survival models for determining household-level disturbances from hazards-induced infrastructure service disruptions,X,家庭服务中断易损曲线(社会),题目+关键词
353,WOS:000302670200008,Feasibility study of a localized residential grey water energy-recovery system,X,住宅灰水能量回收,题目+关键词
354,WOS:000432425200121,"A Hybrid Methodology for Combined Interplant Heat, Water, and Power Integration",X,工业共生热-水-电集成(过程级),题目+关键词
355,WOS:001587166000090,Adjustable Robust Optimization for Integrated Power and Water Systems under Uncertainty,A,综合电力-水系统可调鲁棒优化,题目+关键词
356,WOS:000593976100033,Security risk control of water power generation industrial control network based on attack and defense map,X,水电发电工控网络安全,题目+关键词
357,WOS:000076664700004,"Ecosystem restoration: A case study in the Owens River Gorge, California",X,河流生态修复,题目+关键词
358,WOS:000392555600016,Reliability modeling and analysis of communication networks,X,通信网络可靠性,题目+关键词
359,WOS:000356754700035,Multi-objective analytical model for optimal sizing of stand-alone photovoltaic water pumping systems,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
360,WOS:000612003200010,"Energy, exergy, economic, exergoenvironmental, and environmental analyses of a multigeneration system to produce electricity, cooling, potable water, hydrogen and sodium-hypochlorite",X,过程级(多联产电-冷-水-氢),题目+关键词
361,WOS:000984885800001,Performance enhancement of a nanofluid filtered solar membrane distillation system using heat pump for electricity/water cogeneration,X,过程级(太阳能膜蒸馏+热泵),题目+关键词
362,WOS:000296305700048,COMPARATIVE COST ANALYSIS OF PRESSURE EXCHANGER (PX) AND TURBINE TYPE ENERGY RECOVERY DEVICES AT SEAWATER REVERSE OSMOSIS (SWRO) PLANTS,X,SWRO能量回收装置成本,题目+关键词
363,WOS:000359614800026,"FARMING SYSTEM DEVELOPMENT IN THE CHANGING ENVIRONMENT - EXPERIENCE FROM RESETTLED HOUSEHOLDS, SOUTHERN BRAZIL",X,农业系统(巴西),题目+关键词
364,WOS:000408868400001,What do New Yorkers Think about Impacts and Adaptation to Heat Waves? An Evaluation Tool to Incorporate Perception of Low-Income Groups into Heat Wave Adaptation Scenarios in New York City,X,热浪适应感知(纽约),题目+关键词
365,WOS:000665021400010,The campus cloud platform setup based on virtualization technology,X,校园云平台,题目+关键词
366,WOS:001458910100001,"Environmental assessment based on soil loss, deforestation in permanent preservation areas, and water quality applied in the Itacaiúnas Watershed, Eastern Amazon",X,流域环境评估(亚马逊),题目+关键词
367,WOS:000676353900001,Assessing the Impact of Water Efficiency Policies on Qatar's Electricity and Water Sectors,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
368,WOS:001423176700001,"Life cycle assessment of heat, CO2 from composting for greenhouse applications",X,堆肥温室LCA,题目+关键词
369,WOS:000271715900035,Fujairah SWRO - management of membrane replacement,X,SWRO膜更换管理,题目+关键词
370,WOS:000562097000015,Chance-Constrained Water Pumping to Manage Water and Power Demand Uncertainty in Distribution Networks,A,机会约束水泵调度(PDN+WDN不确定性),题目+关键词
371,WOS:000468210800010,Developing Priority Index for Managing Utility Disruptions in Urban Areas with Focus on Cascading and Interdependent Effects,A,[B终筛升A]城市公用事业(水-电)中断级联互依优先级指数(Austin算例),摘要复核(B类终筛)
372,WOS:001666804000002,Text-based modeling reveals the sector-specific benefits of emerging technologies for extreme flood adaptation,X,洪水适应文本建模,题目+关键词
373,WOS:001511626300018,2 K system exergetic optimisation and helium recovery system for FCC-ee,X,加速器低温系统,题目+关键词
374,WOS:000298810001092,Intensive Care Unit Availability Indexed to Patient Complexity,X,ICU可用性,题目+关键词
375,WOS:000244663800027,Comparative study of power and water cogeneration systems,X,过程级(电-水联产系统比较),题目+关键词
376,WOS:001672584200001,Thermo-Adaptive Interfacial Solar Evaporators Enhanced by Tunable Structure and Wettability for High-Efficiency Water and Electricity Cogeneration,X,材料级(太阳能蒸发器),题目+关键词
377,WOS:000367117200005,FLOWSHEET STUDY OF A MULTISTAGE FLASH DESALINATION SYSTEM FOR COGENERATION WITH HIGH TEMPERATURE GAS-COOLED REACTOR,X,过程级(HTGR+MSF联产),题目+关键词
378,WOS:000250122500002,Performance of a pinch analysis for the process of recovery of ethanol from fermentation,X,乙醇回收夹点分析,题目+关键词
379,WOS:000493910800022,Solar Distillation Thermoelectric Power Generation,X,器件级(太阳能蒸馏热电),题目+关键词
380,WOS:000251132800001,Experience of mental disorder in the context of basic service reforms: The impact on caregiving environments in South Africa,X,精神卫生服务,题目+关键词
381,WOS:000260354500024,EVALUATION OF THE PROBLEMS CREATED BY TREES AND BUSHES TO THE URBAN ENVIRONMENT,X,城市树木问题,题目+关键词
382,WOS:000576798600013,Thermo-economic simulation and analysis of a solar thermal cycle combined with two desalination processes by multi-effect distillation (MED),X,过程级(太阳能+MED热经济),题目+关键词
383,WOS:001243458700001,Designing a multi-objective energy management system in multiple interconnected water and power microgrids based on the MOPSO algorithm,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
384,WOS:000509591200001,Interdisciplinary Approach to Building Functionality for Weather Hazards,X,建筑功能天气灾害(电力+人本),题目+关键词
385,WOS:000693461300001,A flexible and generic functional mock-up unit based threat injection framework for grid-interactive efficient buildings: A case study in Modelica,X,建筑电网交互威胁注入,题目+关键词
386,WOS:000841965900001,The feasibility of using soil seed bank for natural regeneration of degraded sandy grasslands,X,草原土壤种子库,题目+关键词
387,WOS:001021616800001,Variations of soil organic carbon fractions in response to conservative vegetation successions on the Loess Plateau of China,X,黄土高原土壤碳,题目+关键词
388,WOS:A1991GP75700019,CORROSION EXPERIENCE DATA-BANK SYSTEM FOR DESALINATION AND POWER-PLANTS (COREX),X,淡化/电厂腐蚀数据库,题目+关键词
389,WOS:001838729400002,Aggregate stability thresholds and sediment sorting governed by soil net force under different woodland restoration types,X,土壤团聚体,题目+关键词
390,WOS:000269061200002,Vulnerability Assessment of Health Care Facilities during Disaster Events,X,医疗设施脆弱性,题目+关键词
391,WOS:001046990000001,Investigation performance of adsorption system for desalination and power generation using superior adsorbent materials,X,过程级(吸附淡化+发电),题目+关键词
392,WOS:000744081400002,"Land surface roughness impacted by typical vegetation restoration projects on aeolian sandy lands in the Yarlung Zangbo River valley, southern Tibetan plateau",X,风沙地貌植被恢复,题目+关键词
393,WOS:001699041500001,Optimizing water and nutrient application for Caragana korshinskii-based vegetation restoration in coal-mine-degraded arid lands,X,矿区植被恢复水肥,题目+关键词
394,WOS:000178121000001,"Reconciling ecosystem rehabilitation and service reliability mandates in large technical systems: Findings and implications, of three major US ecosystem management initiatives for managing human-dominated aquatic -terrestrial ecosystems",X,生态修复与服务可靠性,题目+关键词
395,WOS:000228358100035,Recovery of high power water switches,X,脉冲功率水开关恢复,题目+关键词
396,WOS:001595403400001,Design and performance analysis of liquid organic hydrogen carriers supply HT-PEMFC systems,X,氢载体燃料电池系统,题目+关键词
397,WOS:000174750600008,Multicriteria planning of post-earthquake sustainable reconstruction,X,震后重建多准则规划,题目+关键词
398,WOS:000737180500001,Thermodynamic Analysis and Optimization of a Novel Power-Water Cogeneration System for Waste Heat Recovery of Gas Turbine,X,过程级(燃机余热sCO2+RO水电联产),题目+关键词
399,WOS:000333012500008,Resilience of Cloud Computing in Critical Systems,X,云计算韧性,题目+关键词
400,WOS:000621949200001,A critical review of the integration of renewable energy sources with various technologies,X,可再生能源集成综述,题目+关键词
401,WOS:000467956100007,"Lifetime Prediction of Boost, Z-source and Y-source Converters in a Fuel Cell Hybrid Electric Vehicle Application",X,车载变换器寿命,题目+关键词
402,WOS:000403420500053,Low Cost Wireless Sensors for Distribution Grid Intelligence and Resiliency,X,配网无线传感器,题目+关键词
403,WOS:001258717200001,"Stress Testing California's Hydroclimatic Whiplash: Potential Challenges, Trade-Offs and Adaptations in Water Management and Hydropower Generation",X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
404,WOS:000364708700007,Emergency Food Supplies in Food Secure Households,X,应急食品供应,题目+关键词
405,WOS:000397367500002,Network reliability analysis with link and nodal weights and auxiliary nodes,X,交通网络可靠性,题目+关键词
406,WOS:001731025600002,A Machine Learning Framework for Joint Reliability Improvement and Maintenance of All-Terminal Networks,X,ML网络可靠性维护,题目+关键词
407,WOS:001770705800001,"Feasibility and optimal sizing analysis of hybrid PV/Wind powered seawater desalination system: A case study of four ports, Egypt",X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
408,WOS:000373157300016,Simulation and Optimization of Back Pressure Control for Circulating Fluidized Bed Boiler Unit with Unity of Three Towers,X,循环流化床锅炉控制,题目+关键词
409,WOS:000598371500039,Multifunctional solar bamboo straw: Multiscale 3D membrane for self-sustained solar-thermal water desalination and purification and thermoelectric waste heat recovery and storage,X,材料级(太阳能竹吸管膜),题目+关键词
410,WOS:001273758000001,"Response to comment by Daley et al., on ""Assessing gully erosion and rehabilitation using multi temporal LiDAR DEMs: Case study from the Great Barrier Reef catchments, Australia""",X,侵蚀沟LiDAR评估,题目+关键词
411,WOS:000588376700039,Decision frameworks for restoration & adaptation investment-Applying lessons from asset-intensive industries to the Great Barrier Reef,X,大堡礁投资决策,题目+关键词
412,WOS:000463122100081,"Biogas fueled combined cooling, desalinated water and power generation systems",X,过程级(沼气冷-水-电三联产),题目+关键词
413,WOS:000361030001070,Thermo-Economic Analysis of Combined Cycle MED-TVC Desalination System,X,过程级(MED-TVC联合循环热经济),题目+关键词
414,WOS:000652152900240,Portfolio Optimisation of Integrated Renewable Energy Cogeneration Systems,X,可再生联产组合优化(无水),题目+关键词
415,WOS:001611099000001,The relationship between data centers and the climate is a systems challenge: a spatial analysis of United States data centers,X,数据中心气候/水压力选址,题目+关键词
416,WOS:000313134500051,An economic evaluation of biological conversion of wheat straw to butanol: A biofuel,X,生物燃料经济,题目+关键词
417,WOS:001555356200004,Securing smart farms: Data-driven integration of renewable energy and desalination for sustainable agriculture,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
418,WOS:001669970000047,Probabilistic Modeling of Infrastructure Reliability,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
419,WOS:001478744500001,Efficacy of absorber-plateless PV/T system: With low-cost and energy-efficient plastic capillary exchanger,X,PV/T集热器,题目+关键词
420,WOS:000946387500016,Bi-objective Optimization of Network Reliability by Genetic Algorithm,X,网络可靠性遗传算法,题目+关键词
421,WOS:000373863400017,Energy use consequences of ventilating a net-zero energy house,X,净零住宅通风能耗,题目+关键词
422,WOS:000557547000022,Model for Earthquake Damage Analysis in Lifeline Utility Systems with Consideration of Uncertainties,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
